"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","All sexes Children (0-14) upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","2074",""
"Colombia","All sexes Children (0-14) upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","1688",""
"Colombia","All sexes Children (0-14) upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","1246",""
"Colombia","All sexes Adults (15+) estimate","2014","UNAIDS_Spectrum Estimates_","Number","122089",""
"Colombia","All sexes Adults (15+) estimate","2013","UNAIDS_Spectrum Estimates_","Number","120276",""
"Colombia","All sexes Adults (15+) estimate","2012","UNAIDS_Spectrum Estimates_","Number","119360",""
"Colombia","All sexes Adults (15+) estimate","2011","UNAIDS_Spectrum Estimates_","Number","118897",""
"Colombia","All sexes Adults (15+) estimate","2010","UNAIDS_Spectrum Estimates_","Number","119447",""
"Colombia","All sexes Adults (15+) estimate","2009","UNAIDS_Spectrum Estimates_","Number","120320",""
"Colombia","All sexes Adults (15+) estimate","2008","UNAIDS_Spectrum Estimates_","Number","120965",""
"Colombia","All sexes Adults (15+) estimate","2007","UNAIDS_Spectrum Estimates_","Number","120722",""
"Colombia","All sexes Adults (15+) estimate","2006","UNAIDS_Spectrum Estimates_","Number","119943",""
"Colombia","All sexes Adults (15+) estimate","2005","UNAIDS_Spectrum Estimates_","Number","120113",""
"Colombia","All sexes Adults (15+) estimate","2004","UNAIDS_Spectrum Estimates_","Number","120055",""
"Colombia","All sexes Adults (15+) estimate","2003","UNAIDS_Spectrum Estimates_","Number","119652",""
"Colombia","All sexes Adults (15+) estimate","2002","UNAIDS_Spectrum Estimates_","Number","118817",""
"Colombia","All sexes Adults (15+) estimate","2001","UNAIDS_Spectrum Estimates_","Number","117430",""
"Colombia","All sexes Adults (15+) estimate","2000","UNAIDS_Spectrum Estimates_","Number","115304",""
"Colombia","All sexes Adults (15+) estimate","1999","UNAIDS_Spectrum Estimates_","Number","111573",""
"Colombia","All sexes Adults (15+) estimate","1998","UNAIDS_Spectrum Estimates_","Number","104909",""
"Colombia","All sexes Adults (15+) estimate","1997","UNAIDS_Spectrum Estimates_","Number","92737",""
"Colombia","All sexes Adults (15+) estimate","1996","UNAIDS_Spectrum Estimates_","Number","75173",""
"Colombia","All sexes Adults (15+) estimate","1995","UNAIDS_Spectrum Estimates_","Number","56266",""
"Colombia","All sexes Adults (15+) estimate","1994","UNAIDS_Spectrum Estimates_","Number","41801",""
"Colombia","All sexes Adults (15+) estimate","1993","UNAIDS_Spectrum Estimates_","Number","32006",""
